flight_id,flight_no,actual_departure,actual_arrival,aircraft_code,departure_airport,arrival_airport,fare_conditions,range,count_seats,sum_amount,travel_time
68527,PG0295,2016-11-28T13:23:00Z,2016-11-28T13:48:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68528,PG0296,2016-11-28T10:17:00Z,2016-11-28T10:42:00Z,SU9,OVB,NOZ,Business,3000,970,8827000.00,25.0
68528,PG0296,2016-11-28T10:17:00Z,2016-11-28T10:42:00Z,SU9,OVB,NOZ,Economy,3000,7081,21388500.00,25.0
68529,PG0295,2017-05-04T13:21:00Z,2017-05-04T13:46:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68530,PG0296,2017-04-07T10:17:00Z,2017-04-07T10:42:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68530,PG0296,2017-04-07T10:17:00Z,2017-04-07T10:42:00Z,SU9,OVB,NOZ,Economy,3000,8245,24880500.00,25.0
68531,PG0295,2016-11-15T13:24:00Z,2016-11-15T13:49:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68532,PG0296,2016-11-15T10:19:00Z,2016-11-15T10:44:00Z,SU9,OVB,NOZ,Business,3000,1067,9709700.00,25.0
68532,PG0296,2016-11-15T10:19:00Z,2016-11-15T10:44:00Z,SU9,OVB,NOZ,Economy,3000,7760,23425500.00,25.0
68533,PG0296,2017-05-04T10:22:00Z,2017-05-04T10:47:00Z,SU9,OVB,NOZ,Business,3000,1067,9709700.00,25.0
68533,PG0296,2017-05-04T10:22:00Z,2017-05-04T10:47:00Z,SU9,OVB,NOZ,Economy,3000,7566,22814400.00,25.0
68534,PG0296,2016-09-28T10:19:00Z,2016-09-28T10:44:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68534,PG0296,2016-09-28T10:19:00Z,2016-09-28T10:44:00Z,SU9,OVB,NOZ,Economy,3000,8051,24298500.00,25.0
68535,PG0296,2017-01-11T10:18:00Z,2017-01-11T10:43:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68535,PG0296,2017-01-11T10:18:00Z,2017-01-11T10:43:00Z,SU9,OVB,NOZ,Economy,3000,7663,23134500.00,25.0
68536,PG0296,,,SU9,OVB,NOZ,Business,3000,1164,10592400.00,
68536,PG0296,,,SU9,OVB,NOZ,Economy,3000,7954,24007500.00,
68537,PG0295,2017-01-11T13:24:00Z,2017-01-11T13:49:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68538,PG0296,2017-01-10T10:18:00Z,2017-01-10T10:43:00Z,SU9,OVB,NOZ,Business,3000,970,8827000.00,25.0
68538,PG0296,2017-01-10T10:18:00Z,2017-01-10T10:43:00Z,SU9,OVB,NOZ,Economy,3000,7663,23134500.00,25.0
68539,PG0296,2016-09-30T10:19:00Z,2016-09-30T10:44:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68539,PG0296,2016-09-30T10:19:00Z,2016-09-30T10:44:00Z,SU9,OVB,NOZ,Economy,3000,7954,24007500.00,25.0
68540,PG0295,2017-01-26T13:21:00Z,2017-01-26T13:46:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68541,PG0296,2017-03-20T10:16:00Z,2017-03-20T10:41:00Z,SU9,OVB,NOZ,Business,3000,1067,9709700.00,25.0
68541,PG0296,2017-03-20T10:16:00Z,2017-03-20T10:41:00Z,SU9,OVB,NOZ,Economy,3000,7954,24007500.00,25.0
68542,PG0295,2016-09-28T16:18:00Z,2016-09-28T16:43:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68543,PG0295,2016-09-30T13:24:00Z,2016-09-30T13:49:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68544,PG0295,2017-03-20T13:23:00Z,2017-03-20T13:48:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68545,PG0296,2017-06-08T10:17:00Z,2017-06-08T10:42:00Z,SU9,OVB,NOZ,Business,3000,1067,9709700.00,25.0
68545,PG0296,2017-06-08T10:17:00Z,2017-06-08T10:42:00Z,SU9,OVB,NOZ,Economy,3000,7372,22232400.00,25.0
68546,PG0295,2017-07-12T17:14:00Z,2017-07-12T17:39:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68547,PG0296,2017-04-06T10:19:00Z,2017-04-06T10:44:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68547,PG0296,2017-04-06T10:19:00Z,2017-04-06T10:44:00Z,SU9,OVB,NOZ,Economy,3000,7760,23425500.00,25.0
68548,PG0296,2017-07-12T10:20:00Z,2017-07-12T10:45:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68548,PG0296,2017-07-12T10:20:00Z,2017-07-12T10:45:00Z,SU9,OVB,NOZ,Economy,3000,8148,24589500.00,25.0
68549,PG0295,2017-01-10T13:24:00Z,2017-01-10T13:49:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68550,PG0295,2017-06-14T13:27:00Z,2017-06-14T13:52:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68551,PG0296,2017-06-14T10:18:00Z,2017-06-14T10:43:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68551,PG0296,2017-06-14T10:18:00Z,2017-06-14T10:43:00Z,SU9,OVB,NOZ,Economy,3000,8148,24560400.00,25.0
68552,PG0296,2017-05-22T10:18:00Z,2017-05-22T10:43:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68552,PG0296,2017-05-22T10:18:00Z,2017-05-22T10:43:00Z,SU9,OVB,NOZ,Economy,3000,8051,24298500.00,25.0
68553,PG0295,2017-01-28T13:23:00Z,2017-01-28T13:48:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68554,PG0296,2016-12-27T10:18:00Z,2016-12-27T10:43:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68554,PG0296,2016-12-27T10:18:00Z,2016-12-27T10:43:00Z,SU9,OVB,NOZ,Economy,3000,7760,23425500.00,25.0
68555,PG0295,2017-06-08T13:24:00Z,2017-06-08T13:49:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68556,PG0296,,,SU9,OVB,NOZ,Business,3000,970,8827000.00,
68556,PG0296,,,SU9,OVB,NOZ,Economy,3000,8051,24298500.00,
68557,PG0296,2017-01-28T10:18:00Z,2017-01-28T10:43:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68557,PG0296,2017-01-28T10:18:00Z,2017-01-28T10:43:00Z,SU9,OVB,NOZ,Economy,3000,8148,24589500.00,25.0
68558,PG0295,,,SU9,OVB,NOZ,,3000,97,,
68559,PG0296,,,SU9,OVB,NOZ,Business,3000,679,6178900.00,
68559,PG0296,,,SU9,OVB,NOZ,Economy,3000,5335,16092300.00,
68560,PG0295,2017-08-05T13:21:00Z,2017-08-05T13:46:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68561,PG0295,,,SU9,OVB,NOZ,,3000,97,,
68562,PG0295,2017-08-15T13:22:00Z,2017-08-15T13:47:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68563,PG0295,,,SU9,OVB,NOZ,,3000,97,,
68564,PG0296,2017-01-16T10:16:00Z,2017-01-16T10:41:00Z,SU9,OVB,NOZ,Business,3000,970,8827000.00,25.0
68564,PG0296,2017-01-16T10:16:00Z,2017-01-16T10:41:00Z,SU9,OVB,NOZ,Economy,3000,7954,24007500.00,25.0
68565,PG0296,2017-08-05T10:17:00Z,2017-08-05T10:42:00Z,SU9,OVB,NOZ,Business,3000,1067,9709700.00,25.0
68565,PG0296,2017-08-05T10:17:00Z,2017-08-05T10:42:00Z,SU9,OVB,NOZ,Economy,3000,8051,24269400.00,25.0
68566,PG0295,2017-01-16T13:22:00Z,2017-01-16T13:47:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68567,PG0296,2016-09-23T10:18:00Z,2016-09-23T10:43:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68567,PG0296,2016-09-23T10:18:00Z,2016-09-23T10:43:00Z,SU9,OVB,NOZ,Economy,3000,7663,23134500.00,25.0
68568,PG0296,2016-10-10T10:20:00Z,2016-10-10T10:45:00Z,SU9,OVB,NOZ,Business,3000,970,8827000.00,25.0
68568,PG0296,2016-10-10T10:20:00Z,2016-10-10T10:45:00Z,SU9,OVB,NOZ,Economy,3000,7275,21941400.00,25.0
68569,PG0295,2017-03-12T13:23:00Z,2017-03-12T13:48:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68570,PG0295,2017-02-21T17:10:00Z,2017-02-21T17:35:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68571,PG0296,2017-02-21T13:10:00Z,2017-02-21T13:36:00Z,SU9,OVB,NOZ,Business,3000,1067,9709700.00,26.0
68571,PG0296,2017-02-21T13:10:00Z,2017-02-21T13:36:00Z,SU9,OVB,NOZ,Economy,3000,7857,23716500.00,26.0
68572,PG0296,2017-03-12T10:22:00Z,2017-03-12T10:47:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68572,PG0296,2017-03-12T10:22:00Z,2017-03-12T10:47:00Z,SU9,OVB,NOZ,Economy,3000,7954,24007500.00,25.0
68573,PG0295,2017-08-10T13:23:00Z,2017-08-10T13:48:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68574,PG0296,2016-09-29T10:23:00Z,2016-09-29T10:48:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68574,PG0296,2016-09-29T10:23:00Z,2016-09-29T10:48:00Z,SU9,OVB,NOZ,Economy,3000,7372,22261500.00,25.0
68575,PG0295,2017-05-16T13:25:00Z,2017-05-16T13:50:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68576,PG0295,2016-10-24T13:25:00Z,2016-10-24T13:50:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68577,PG0295,2017-05-22T13:23:00Z,2017-05-22T13:48:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68578,PG0296,2017-08-10T10:17:00Z,2017-08-10T10:42:00Z,SU9,OVB,NOZ,Business,3000,1067,9709700.00,25.0
68578,PG0296,2017-08-10T10:17:00Z,2017-08-10T10:42:00Z,SU9,OVB,NOZ,Economy,3000,8245,24880500.00,25.0
68579,PG0295,2016-11-05T13:23:00Z,2016-11-05T13:48:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68580,PG0296,2016-10-24T10:19:00Z,2016-10-24T10:44:00Z,SU9,OVB,NOZ,Business,3000,970,8827000.00,25.0
68580,PG0296,2016-10-24T10:19:00Z,2016-10-24T10:44:00Z,SU9,OVB,NOZ,Economy,3000,7081,21359400.00,25.0
68581,PG0296,2016-10-22T10:16:00Z,2016-10-22T10:41:00Z,SU9,OVB,NOZ,Business,3000,970,8827000.00,25.0
68581,PG0296,2016-10-22T10:16:00Z,2016-10-22T10:41:00Z,SU9,OVB,NOZ,Economy,3000,7857,23716500.00,25.0
68582,PG0296,,,SU9,OVB,NOZ,Business,3000,679,6178900.00,
68582,PG0296,,,SU9,OVB,NOZ,Economy,3000,3492,10505100.00,
68583,PG0295,2017-03-03T13:21:00Z,2017-03-03T13:46:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68584,PG0295,,,SU9,OVB,NOZ,,3000,97,,
68585,PG0296,2016-09-25T10:15:00Z,2016-09-25T10:40:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68585,PG0296,2016-09-25T10:15:00Z,2016-09-25T10:40:00Z,SU9,OVB,NOZ,Economy,3000,7663,23134500.00,25.0
68586,PG0296,2017-04-16T10:23:00Z,2017-04-16T10:48:00Z,SU9,OVB,NOZ,Business,3000,970,8827000.00,25.0
68586,PG0296,2017-04-16T10:23:00Z,2017-04-16T10:48:00Z,SU9,OVB,NOZ,Economy,3000,8148,24589500.00,25.0
68587,PG0295,,,SU9,OVB,NOZ,Economy,3000,97,291000.00,
68588,PG0295,2016-09-25T13:21:00Z,2016-09-25T13:46:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68589,PG0295,2016-10-27T13:21:00Z,2016-10-27T13:46:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68590,PG0296,2016-10-27T13:41:00Z,2016-10-27T14:06:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68590,PG0296,2016-10-27T13:41:00Z,2016-10-27T14:06:00Z,SU9,OVB,NOZ,Economy,3000,8051,24298500.00,25.0
68591,PG0295,2017-06-26T13:21:00Z,2017-06-26T13:46:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68592,PG0295,2017-07-17T13:22:00Z,2017-07-17T13:47:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68593,PG0295,2017-04-16T13:26:00Z,2017-04-16T13:51:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68594,PG0296,2017-06-26T10:18:00Z,2017-06-26T10:43:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68594,PG0296,2017-06-26T10:18:00Z,2017-06-26T10:43:00Z,SU9,OVB,NOZ,Economy,3000,7663,23134500.00,25.0
68595,PG0295,2016-08-26T13:24:00Z,2016-08-26T13:49:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68596,PG0295,2017-07-08T13:23:00Z,2017-07-08T13:48:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68597,PG0296,2017-02-25T10:21:00Z,2017-02-25T10:46:00Z,SU9,OVB,NOZ,Business,3000,1067,9709700.00,25.0
68597,PG0296,2017-02-25T10:21:00Z,2017-02-25T10:46:00Z,SU9,OVB,NOZ,Economy,3000,7469,22494300.00,25.0
68598,PG0296,,,SU9,OVB,NOZ,Business,3000,97,882700.00,
68598,PG0296,,,SU9,OVB,NOZ,Economy,3000,485,1484100.00,
68599,PG0296,2017-01-13T10:21:00Z,2017-01-13T10:46:00Z,SU9,OVB,NOZ,Business,3000,1067,9709700.00,25.0
68599,PG0296,2017-01-13T10:21:00Z,2017-01-13T10:46:00Z,SU9,OVB,NOZ,Economy,3000,7469,22552500.00,25.0
68600,PG0296,2016-12-23T10:18:00Z,2016-12-23T10:43:00Z,SU9,OVB,NOZ,Business,3000,1067,9709700.00,25.0
68600,PG0296,2016-12-23T10:18:00Z,2016-12-23T10:43:00Z,SU9,OVB,NOZ,Economy,3000,7566,22785300.00,25.0
68601,PG0295,2017-02-25T13:23:00Z,2017-02-25T13:48:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68602,PG0295,2016-12-23T13:21:00Z,2016-12-23T13:46:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68603,PG0296,2017-02-06T10:18:00Z,2017-02-06T10:43:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68603,PG0296,2017-02-06T10:18:00Z,2017-02-06T10:43:00Z,SU9,OVB,NOZ,Economy,3000,7760,23396400.00,25.0
68604,PG0295,2017-02-06T13:25:00Z,2017-02-06T13:50:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68605,PG0296,2016-08-26T10:17:00Z,2016-08-26T10:42:00Z,SU9,OVB,NOZ,Business,3000,1067,9709700.00,25.0
68605,PG0296,2016-08-26T10:17:00Z,2016-08-26T10:42:00Z,SU9,OVB,NOZ,Economy,3000,8148,24589500.00,25.0
68606,PG0296,2016-10-31T10:20:00Z,2016-10-31T10:45:00Z,SU9,OVB,NOZ,Business,3000,970,8827000.00,25.0
68606,PG0296,2016-10-31T10:20:00Z,2016-10-31T10:45:00Z,SU9,OVB,NOZ,Economy,3000,7760,23396400.00,25.0
68607,PG0295,2016-10-31T13:24:00Z,2016-10-31T13:49:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68608,PG0295,2017-01-06T13:21:00Z,2017-01-06T13:46:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68609,PG0295,2017-06-04T13:22:00Z,2017-06-04T13:46:00Z,SU9,OVB,NOZ,,3000,97,,24.0
68610,PG0296,2017-02-12T10:17:00Z,2017-02-12T10:42:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68610,PG0296,2017-02-12T10:17:00Z,2017-02-12T10:42:00Z,SU9,OVB,NOZ,Economy,3000,7663,23134500.00,25.0
68611,PG0296,2017-01-06T10:18:00Z,2017-01-06T10:43:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68611,PG0296,2017-01-06T10:18:00Z,2017-01-06T10:43:00Z,SU9,OVB,NOZ,Economy,3000,7954,23978400.00,25.0
68612,PG0295,2016-11-29T13:24:00Z,2016-11-29T13:49:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68613,PG0295,,,SU9,OVB,NOZ,,3000,97,,
68614,PG0295,,,SU9,OVB,NOZ,,3000,97,,
68615,PG0296,2016-11-29T10:16:00Z,2016-11-29T10:41:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68615,PG0296,2016-11-29T10:16:00Z,2016-11-29T10:41:00Z,SU9,OVB,NOZ,Economy,3000,8051,24298500.00,25.0
68616,PG0296,2017-07-17T10:20:00Z,2017-07-17T10:45:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68616,PG0296,2017-07-17T10:20:00Z,2017-07-17T10:45:00Z,SU9,OVB,NOZ,Economy,3000,8245,24880500.00,25.0
68617,PG0296,2017-06-04T10:19:00Z,2017-06-04T10:44:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68617,PG0296,2017-06-04T10:19:00Z,2017-06-04T10:44:00Z,SU9,OVB,NOZ,Economy,3000,8051,24298500.00,25.0
68618,PG0296,2017-07-05T10:15:00Z,2017-07-05T10:40:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68618,PG0296,2017-07-05T10:15:00Z,2017-07-05T10:40:00Z,SU9,OVB,NOZ,Economy,3000,7081,21388500.00,25.0
68619,PG0296,2016-09-26T10:15:00Z,2016-09-26T10:40:00Z,SU9,OVB,NOZ,Business,3000,1067,9709700.00,25.0
68619,PG0296,2016-09-26T10:15:00Z,2016-09-26T10:40:00Z,SU9,OVB,NOZ,Economy,3000,7566,22843500.00,25.0
68620,PG0295,2017-07-05T13:21:00Z,2017-07-05T13:46:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68621,PG0296,2017-04-14T14:16:00Z,2017-04-14T14:41:00Z,SU9,OVB,NOZ,Business,3000,1067,9709700.00,25.0
68621,PG0296,2017-04-14T14:16:00Z,2017-04-14T14:41:00Z,SU9,OVB,NOZ,Economy,3000,8051,24298500.00,25.0
68622,PG0295,2017-04-14T13:23:00Z,2017-04-14T13:48:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68623,PG0295,2017-04-22T13:22:00Z,2017-04-22T13:47:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68624,PG0296,2017-04-03T10:19:00Z,2017-04-03T10:44:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68624,PG0296,2017-04-03T10:19:00Z,2017-04-03T10:44:00Z,SU9,OVB,NOZ,Economy,3000,7954,24007500.00,25.0
68625,PG0296,2017-04-22T10:17:00Z,2017-04-22T10:42:00Z,SU9,OVB,NOZ,Business,3000,1067,9709700.00,25.0
68625,PG0296,2017-04-22T10:17:00Z,2017-04-22T10:42:00Z,SU9,OVB,NOZ,Economy,3000,7760,23396400.00,25.0
68626,PG0295,2017-04-03T13:26:00Z,2017-04-03T13:51:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68627,PG0295,2016-10-10T13:21:00Z,2016-10-10T13:46:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68628,PG0296,2017-03-19T10:19:00Z,2017-03-19T10:44:00Z,SU9,OVB,NOZ,Business,3000,1067,9709700.00,25.0
68628,PG0296,2017-03-19T10:19:00Z,2017-03-19T10:44:00Z,SU9,OVB,NOZ,Economy,3000,8148,24589500.00,25.0
68629,PG0296,2017-06-12T10:17:00Z,2017-06-12T10:42:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68629,PG0296,2017-06-12T10:17:00Z,2017-06-12T10:42:00Z,SU9,OVB,NOZ,Economy,3000,8051,24298500.00,25.0
68630,PG0295,2017-03-19T13:27:00Z,2017-03-19T13:52:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68631,PG0295,2017-06-12T13:21:00Z,2017-06-12T13:46:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68632,PG0296,2017-03-01T10:17:00Z,2017-03-01T10:42:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68632,PG0296,2017-03-01T10:17:00Z,2017-03-01T10:42:00Z,SU9,OVB,NOZ,Economy,3000,8051,24269400.00,25.0
68633,PG0295,2017-03-01T13:22:00Z,2017-03-01T13:47:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68634,PG0295,2017-06-19T13:22:00Z,2017-06-19T13:47:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68635,PG0295,2017-03-31T13:21:00Z,2017-03-31T13:46:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68636,PG0296,2017-06-19T10:18:00Z,2017-06-19T10:43:00Z,SU9,OVB,NOZ,Business,3000,1067,9709700.00,25.0
68636,PG0296,2017-06-19T10:18:00Z,2017-06-19T10:43:00Z,SU9,OVB,NOZ,Economy,3000,7857,23716500.00,25.0
68637,PG0296,2017-03-31T10:17:00Z,2017-03-31T10:41:00Z,SU9,OVB,NOZ,Business,3000,1067,9709700.00,24.0
68637,PG0296,2017-03-31T10:17:00Z,2017-03-31T10:41:00Z,SU9,OVB,NOZ,Economy,3000,7760,23425500.00,24.0
68638,PG0295,2017-05-24T13:25:00Z,2017-05-24T13:50:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68639,PG0296,2017-07-30T10:22:00Z,2017-07-30T10:47:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68639,PG0296,2017-07-30T10:22:00Z,2017-07-30T10:47:00Z,SU9,OVB,NOZ,Economy,3000,7857,23716500.00,25.0
68640,PG0296,,,SU9,OVB,NOZ,Business,3000,1164,10592400.00,
68640,PG0296,,,SU9,OVB,NOZ,Economy,3000,7275,21970500.00,
68641,PG0295,,,SU9,OVB,NOZ,,3000,97,,
68642,PG0296,2017-02-15T10:19:00Z,2017-02-15T10:44:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68642,PG0296,2017-02-15T10:19:00Z,2017-02-15T10:44:00Z,SU9,OVB,NOZ,Economy,3000,8245,24880500.00,25.0
68643,PG0295,2017-07-30T13:22:00Z,2017-07-30T13:47:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68644,PG0296,2017-05-24T10:17:00Z,2017-05-24T10:42:00Z,SU9,OVB,NOZ,Business,3000,1067,9709700.00,25.0
68644,PG0296,2017-05-24T10:17:00Z,2017-05-24T10:42:00Z,SU9,OVB,NOZ,Economy,3000,7857,23716500.00,25.0
68645,PG0295,2017-01-12T13:23:00Z,2017-01-12T13:48:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68646,PG0295,2017-06-17T13:22:00Z,2017-06-17T13:47:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68647,PG0296,2017-01-12T10:17:00Z,2017-01-12T10:42:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68647,PG0296,2017-01-12T10:17:00Z,2017-01-12T10:42:00Z,SU9,OVB,NOZ,Economy,3000,8148,24589500.00,25.0
68648,PG0296,2017-05-31T10:16:00Z,2017-05-31T10:41:00Z,SU9,OVB,NOZ,Business,3000,1067,9709700.00,25.0
68648,PG0296,2017-05-31T10:16:00Z,2017-05-31T10:41:00Z,SU9,OVB,NOZ,Economy,3000,7760,23396400.00,25.0
68649,PG0295,2017-02-15T13:23:00Z,2017-02-15T13:47:00Z,SU9,OVB,NOZ,,3000,97,,24.0
68650,PG0296,2016-11-08T10:19:00Z,2016-11-08T10:44:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
68650,PG0296,2016-11-08T10:19:00Z,2016-11-08T10:44:00Z,SU9,OVB,NOZ,Economy,3000,8245,24880500.00,25.0
68651,PG0295,2016-11-08T13:24:00Z,2016-11-08T13:49:00Z,SU9,OVB,NOZ,,3000,97,,25.0
68652,PG0296,2017-02-03T10:20:00Z,2017-02-03T10:45:00Z,SU9,OVB,NOZ,Business,3000,1164,10592400.00,25.0
